wet,dry,type
941.2,271,c
940.7,354.1,c
751.8,233.7,c
637.8,234.6,c
740,276.2,c
762.6,282.6,c
818.3,255.6,c
835.6,314.8,c
232.9,66.2,c
192.7,68.3,c
535.4,189.9,c
168.3,66.4,c
219.4,80.1,c
880,333.1,c
700.9,197.4,c
109.1,37,c
159.3,52.7,c
744.1,232.2,c
899.2,328.1,c
919,335.7,c
711.4,256.1,c
268.7,72.7,c
662.2,219.1,c
604.8,217.7,c
767.5,307.3,c
396.9,144.2,w
430.1,128.2,w
437.5,155.9,w
217.3,72,w
594,164.5,w
102,41.6,w
170.9,65.6,w
284.8,88.9,w
259.9,77.2,w
173.3,45,w
259.4,77.1,w
164.8,46.7,w
288.3,102,w
762.3,230.8,w
184.3,42.1,w
624,170.6,w
398.5,117.5,w
349.8,93.2,w
267.4,62.7,w
271.4,71.1,w
299,76.3,w
132.5,37.7,w
261.1,84.7,w
341.1,100.5,w
335.4,94.5,w
245.1,71.7,w-old
83.7,19,w-old
288,85.4,w-old
286.7,101.4,w-old
116.8,34.6,w-old
367.6,117.6,w-old
217.6,94.2,w-old
143.1,61.8,w-old
283.8,94.7,w-old
235,67.3,w-old
186.4,61.6,w-old
226.9,88.9,w-old
172.3,70,w-old
228.4,75.7,w-old
229.3,74,w-old
143.5,56,w-old
51.7,16.6,w-old
245.6,92.6,w-old
158.7,67.4,w-old
124.3,57.2,w-old
219.9,65,w-old
239.6,92.9,w-old
336.5,111.4,w-old
319.2,101,w-old
151.8,55.4,w-old